"FamilyName","GivenName","Prefix","Gender","Age","Class","Joined","url","Price","Survived"
"AL-ZA'INNĪ","Fahīm Rūḥānā","Mr","Male","25","3rd Class Passenger","Cherbourg","https://www.encyclopedia-titanica.org//titanic-survivor/fahim-philip-zenni-leeni.html","7.23",1
"ALLEN","Elisabeth Walton","Miss","Female","29","1st Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/elisabeth-walton-allen.html","211.34",1
"ALLEN","Ernest Frederick","Mr","Male","24","Engineering Crew","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/ernest-frederick-allen.html","NA",1
"ALLISON","Hudson Trevor","Master",NA,"0.0763888888888889","1st Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/trevor-allison.html","151.80",1
"ANDERSEN (JENSEN)","Carla Christine Nielsine","Miss","Female","19","3rd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/carla-jensen.html","7.85",1
"ANDERSON","Harry","Mr","Male","42","1st Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/harry-anderson.html","26.55",1
"ANDERSON","John","Mr","Male","42","Deck Crew","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/john-anderson.html","NA",1
"ANDERSSON","Erna Alexandra","Miss","Female","16","3rd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/erna-andersson.html","7.93",1
"ANDREWS","Cornelia Theodosia","Miss","Female","62","1st Class Passenger","Cherbourg","https://www.encyclopedia-titanica.org//titanic-survivor/kornelia-theodosia-andrews.html","77.96",1
"ANDREWS","Charles Edward","Mr","Male","19","Victualling Crew","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/charles-edward-andrews.html","NA",1
"ANGLE","Florence Agnes","Mrs","Male","36","2nd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/florence-angle.html","26.00",1
"APPLETON","Charlotte","Mrs","Male","53","1st Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/charlotte-appleton.html","51.48",1
"ARCHER","Ernest Edward","Mr","Male","35","Deck Crew","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/ernest-edward-archer.html","NA",1
"ASPLUND","Edvin Rojj Felix","Master",NA,"3","3rd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/edvin-rojj-felix-asplund.html","31.39",1
"ASPLUND","Johan Charles","Mr","Male","23","3rd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/johan-charles-asplund.html","7.80",1
"ASPLUND","Selma Augusta Emilia","Mrs","Male","38","3rd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/selma-augusta-emilia-asplund.html","31.39",1
"ASPLUND","Lillian Gertrud","Miss","Female","5","3rd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/lillian-gertrud-asplund.html","31.39",1
"ASTOR","Madeleine Talmage","Mrs","Male","18","1st Class Passenger","Cherbourg","https://www.encyclopedia-titanica.org//titanic-survivor/madeleine-talmage-astor.html","247.53",1
"AUBART","Léontine Pauline","Mme.",NA,"24","1st Class Passenger","Cherbourg","https://www.encyclopedia-titanica.org//titanic-survivor/leontine-pauline-aubart.html","69.30",1
"AVERY","James Albert","Mr","Male","20","Engineering Crew","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/james-frank-avery.html","NA",1
"AYYŪB-DĀHIR","Bannūrah","Miss","Female","15","3rd Class Passenger","Cherbourg","https://www.encyclopedia-titanica.org//titanic-survivor/banoura-ayoub-daher.html","7.23",1
"BACKSTRÖM","Maria Mathilda","Mrs","Male","33","3rd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/maria-mathilda-backstrom.html","15.85",1
"BADMAN","Emily Louisa","Miss","Female","18","3rd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/emily-badman.html","8.05",1
"BAGGOTT","Allen Marden","Mr","Male","28","Victualling Crew","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/allen-marden-baggott.html","NA",1
"BAILEY","Henry Joseph","Mr","Male","46","Deck Crew","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/joseph-henry-bailey.html","NA",1
"BALL","Percy","Mr","Male","18","Victualling Crew","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/percy-ball.html","NA",1
"BALLS","Ada Elizabeth","Mrs","Male","36","2nd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/ada-ball.html","13.00",1
"BARBER","Ellen Mary","Miss","Female","26","1st Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/ellen-nellie-barber.html","78.85",1
"BARKWORTH","Algernon Henry","Mr","Male","47","1st Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/algernon-barkworth.html","30.00",1
"BARRETT","Frederick William","Mr","Male","29","Engineering Crew","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/frederick-barrett.html","NA",1
"BASSANI","Albina","Mrs","Male","31","1st Class Passenger","Cherbourg","https://www.encyclopedia-titanica.org//titanic-survivor/albina-bassani.html","76.29",1
"BAXTER","Hélène","Mrs","Male","50","1st Class Passenger","Cherbourg","https://www.encyclopedia-titanica.org//titanic-survivor/helene-baxter.html","247.52",1
"BEANE","Edward","Mr","Male","32","2nd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/edward-beane.html","26.00",1
"BEANE","Ethel Louisa","Mrs","Male","22","2nd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/ethel-beane.html","26.00",1
"BEAUCHAMP","George William","Mr","Male","24","Engineering Crew","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/george-william-beauchamp.html","NA",1
"BECKER","Nellie E.","Mrs","Male","35","2nd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/nellie-becker.html","39.00",1
"BECKER","Marion Louise","Miss","Female","4","2nd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/marion-louise-becker.html","39.00",1
"BECKER","Richard F.","Master",NA,"1","2nd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/richard-becker.html","39.00",1
"BECKER","Ruth Elizabeth","Miss","Female","12","2nd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/ruth-elizabeth-becker.html","39.00",1
"BECKWITH","Richard Leonard","Mr","Male","37","1st Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/richard-leonard-beckwith.html","52.55",1
"BECKWITH","Sarah Maybell","Mrs","Male","46","1st Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/sallie-beckwith.html","52.55",1
"BEESLEY","Lawrence","Mr","Male","34","2nd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/lawrence-beesley.html","13.00",1
"BEHR","Karl Howell","Mr","Male","26","1st Class Passenger","Cherbourg","https://www.encyclopedia-titanica.org//titanic-survivor/karl-howell-behr.html","30.00",1
"BENNETT","Mabel Kate","Mrs","Male","33","Victualling Crew","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/mabel-bennett.html","NA",1
"BENTHAM","Lillian Winifred","Miss","Female","19","2nd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/lillian-bentham.html","13.00",1
"BESSETTE","Nellie Mayo","Miss","Female","39","1st Class Passenger","Cherbourg","https://www.encyclopedia-titanica.org//titanic-survivor/nellie-bessette.html","63.36",1
"BIDOIS","Rosalie","Miss","Female","46","1st Class Passenger","Cherbourg","https://www.encyclopedia-titanica.org//titanic-survivor/rosalie-bidois.html","247.53",1
"BING","Lee","Mr","Male","32","3rd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/lee-bing.html","56.50",1
"BINSTEAD","Walter William","Mr","Male","20","Engineering Crew","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/walter-binstead.html","NA",1
"BIRD","Ellen","Miss","Female","31","1st Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/ellen-bird.html","221.78",1
"BISHOP","Dickinson H.","Mr","Male","25","1st Class Passenger","Cherbourg","https://www.encyclopedia-titanica.org//titanic-survivor/dickinson-bishop.html","91.08",1
"BISHOP","Helen Margaret","Mrs","Male","19","1st Class Passenger","Cherbourg","https://www.encyclopedia-titanica.org//titanic-survivor/helen-bishop.html","91.08",1
"BJÖRNSTRÖM-STEFFANSSON","Mauritz Håkan","Mr","Male","28","1st Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/mauritz-hakan-bjornstrom-steffansson.html","26.55",1
"BLAKE","Percival Albert","Mr","Male","22","Engineering Crew","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/percival-albert-blake.html","NA",1
"BLANK","Henry","Mr","Male","39","1st Class Passenger","Cherbourg","https://www.encyclopedia-titanica.org//titanic-survivor/henry-blank.html","31.00",1
"BLISS","Emma","Mrs","Male","45","Victualling Crew","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/emma-bliss.html","NA",1
"BONNELL","Caroline","Miss","Female","30","1st Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/caroline-bonnell.html","164.87",1
"BONNELL","Elizabeth","Miss","Female","61","1st Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/elizabeth-bonnell.html","26.55",1
"BOWEN","Grace Scott","Miss","Female","45","1st Class Passenger","Cherbourg","https://www.encyclopedia-titanica.org//titanic-survivor/grace-scott-bowen.html","262.38",1
"BOWERMAN","Elsie Edith","Miss","Female","22","1st Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/elsie-edith-bowerman.html","55.00",1
"BOWKER","Ruth Harwood","Miss","Female","31","Restaurant Staff","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/ruth-bowker.html","NA",1
"BOXHALL","Joseph Groves","Mr","Male","28","Deck Crew","Belfast","https://www.encyclopedia-titanica.org//titanic-survivor/joseph-groves-boxhall.html","NA",1
"BRADLEY","Bridget","Miss","Female","22","3rd Class Passenger","Queenstown","https://www.encyclopedia-titanica.org//titanic-survivor/bridget-bradley.html","7.73",1
"BRERETON","George Andrew","Mr","Male","37","1st Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/george-brereton.html","26.55",1
"BRICE","Walter Thomas","Mr","Male","42","Deck Crew","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/walter-brice.html","NA",1
"BRIDE","Harold Sydney","Mr","Male","22","Victualling Crew","Belfast","https://www.encyclopedia-titanica.org//titanic-survivor/harold-sydney-bride.html","NA",1
"BRIGHT","Arthur John","Mr","Male","42","Deck Crew","Belfast","https://www.encyclopedia-titanica.org//titanic-survivor/arthur-john-bright.html","NA",1
"BROWN","Amelia Mary","Miss","Female","18","2nd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/mildred-brown.html","13.00",1
"BROWN","Caroline Lane","Mrs","Male","59","1st Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/caroline-lane-brown.html","51.48",1
"BROWN","Margaret","Mrs","Male","44","1st Class Passenger","Cherbourg","https://www.encyclopedia-titanica.org//titanic-survivor/molly-brown.html","27.72",1
"BROWN","Elizabeth Catherine","Mrs","Male","44","2nd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/elizabeth-catherine-brown.html","39.00",1
"BROWN","Edith Eileen","Miss","Female","15","2nd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/edith-haisman.html","39.00",1
"BROWN","Edward","Mr","Male","34","Victualling Crew","Belfast","https://www.encyclopedia-titanica.org//titanic-survivor/edward-brown.html","NA",1
"BRYHL","Dagmar Jenny Ingeborg","Miss","Female","20","2nd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/dagmar-bryhl.html","26.00",1
"BUCKLEY","Daniel","Mr","Male","21","3rd Class Passenger","Queenstown","https://www.encyclopedia-titanica.org//titanic-survivor/daniel-buckley.html","7.82",1
"BUCKNELL","Emma Eliza","Mrs","Male","58","1st Class Passenger","Cherbourg","https://www.encyclopedia-titanica.org//titanic-survivor/emma-bucknell.html","76.29",1
"BULEY","Edward John","Mr","Male","26","Deck Crew","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/edward-john-buley.html","NA",1
"BURGESS","Charles","Mr","Male","18","Victualling Crew","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/charles-burgess.html","NA",1
"BURKE","William","Mr","Male","39","Victualling Crew","Belfast","https://www.encyclopedia-titanica.org//titanic-survivor/william-burke.html","NA",1
"BURNS","Elizabeth Margaret","Miss","Female","41","1st Class Passenger","Cherbourg","https://www.encyclopedia-titanica.org//titanic-survivor/elizabeth-burns.html","134.50",1
"BURRAGE","Arthur Victor Edwards","Mr","Male","20","Victualling Crew","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/alfred-burrage.html","NA",1
"BUSS","Kate","Miss","Female","36","2nd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/kate-buss.html","13.00",1
"BYSTRÖM","Karolina","Mrs","Male","39","2nd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/karolina-bystrom.html","13.00",1
"CALDERHEAD","Edward Pennington","Mr","Male","42","1st Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/edward-pennington-calderhead.html","26.29",1
"CALDWELL","Albert Francis","Mr","Male","26","2nd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/albert-caldwell.html","29.00",1
"CALDWELL","Sylvia Mae","Mrs","Male","28","2nd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/sylvia-caldwell.html","29.00",1
"CALDWELL","Alden Gates","Master",NA,"0.0694444444444444","2nd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/alden-gates-caldwell.html","29.00",1
"CAMERON","Clear Annie","Miss","Female","35","2nd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/clear-cameron.html","21.00",1
"CANDEE","Helen Churchill","Mrs","Male","52","1st Class Passenger","Cherbourg","https://www.encyclopedia-titanica.org//titanic-survivor/helen-churchill-candee.html","27.45",1
"CARDEZA","Charlotte Wardle","Mrs","Male","58","1st Class Passenger","Cherbourg","https://www.encyclopedia-titanica.org//titanic-survivor/charlotte-cardeza.html","512.33",1
"CARDEZA","Thomas Drake Martinez","Mr","Male","36","1st Class Passenger","Cherbourg","https://www.encyclopedia-titanica.org//titanic-survivor/thomas-cardeza.html","512.33",1
"CARTER","William Ernest","Mr","Male","36","1st Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/william-carter.html","120.00",1
"CARTER","Lucile","Mrs","Male","36","1st Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/lucile-carter.html","120.00",1
"CARTER","Lucile Polk","Miss","Female","14","1st Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/lucile-polk-carter.html","120.00",1
"CARTER","William Thornton II","Master",NA,"11","1st Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/william-thornton-carter.html","120.00",1
"CASSEBEER","Eleanor Genevieve","Mrs","Male","36","1st Class Passenger","Cherbourg","https://www.encyclopedia-titanica.org//titanic-survivor/eleanor-cassebeer.html","27.72",1
"CATON","Annie","Miss","Female","33","Victualling Crew","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/annie-caton.html","NA",1
"CAVELL","George Henry","Mr","Male","22","Engineering Crew","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/george-henry-cavell.html","NA",1
"CAVENDISH","Julia Florence","Mrs","Male","25","1st Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/julia-florence-cavendish.html","78.85",1
"CHAFFEE","Carrie Constance","Mrs","Male","47","1st Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/carrie-constance-chaffee.html","61.17",1
"CHAMBERS","Norman Campbell","Mr","Male","27","1st Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/norman-campbell-chambers.html","53.10",1
"CHAMBERS","Bertha","Mrs","Male","32","1st Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/bertha-chambers.html","53.10",1
"CHAPMAN","Joseph Charles","Mr","Male","32","Victualling Crew","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/joseph-charles-chapman.html","NA",1
"CHAUDANSON","Victorine","Miss","Female","36","1st Class Passenger","Cherbourg","https://www.encyclopedia-titanica.org//titanic-survivor/victorine-chaudanson.html","262.38",1
"CHERRY","Gladys","Miss","Female","30","1st Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/gladys-cherry.html","86.50",1
"CHEVRÉ","Paul Romaine Marie Léonce","Mr","Male","45","1st Class Passenger","Cherbourg","https://www.encyclopedia-titanica.org//titanic-survivor/paul-chevre.html","29.70",1
"CHIBNALL","Edith Martha Bowerman","Mrs","Male","48","1st Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/edith-martha-chibnall.html","55.00",1
"CHIP","Chang","Mr","Male","32","3rd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/chang-chip.html","56.50",1
"CHRISTY","Alice Frances","Mrs","Male","52","2nd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/alice-frances-christy.html","30.00",1
"CHRISTY","Rachel Juli Cohen","Miss","Female","25","2nd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/rachel-julie-cohen-christy.html","30.00",1
"CLARK","Virginia Estelle","Mrs","Male","26","1st Class Passenger","Cherbourg","https://www.encyclopedia-titanica.org//titanic-survivor/virginia-clark.html","136.78",1
"CLARK","William","Mr","Male","42","Engineering Crew","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/william-clark.html","NA",1
"CLARKE","Ada Maria","Mrs","Male","28","2nd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/ada-maria-clarke.html","26.00",1
"CLEAVER","Alice Catherine","Miss","Female","22","1st Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/alice-cleaver.html","151.80",1
"CLENCH","Frederick Charles","Mr","Male","33","Deck Crew","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/frederick-clench.html","NA",1
"COHEN","Gurshon","Mr","Male","19","3rd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/gurshon-gus-cohen.html","8.05",1
"COLGAN","Joseph","Mr","Male","33","Victualling Crew","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/e-joseph-colgan.html","NA",1
"COLLETT","Sidney Clarence Stuart","Mr","Male","25","2nd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/sidney-clarence-stuart-collett.html","10.50",1
"COLLINS","John","Mr","Male","38","Engineering Crew","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/john-samuel-collins.html","NA",1
"COLLINS","John","Mr","Male","17","Victualling Crew","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/john-collins.html","NA",1
"COLLYER","Charlotte Caroline","Mrs","Male","30","2nd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/charlotte-annie-collyer.html","26.25",1
"COLLYER","Marjorie Lottie","Miss","Female","8","2nd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/marjorie-collyer.html","26.25",1
"COMBES","George","Mr","Male","34","Engineering Crew","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/george-combes.html","NA",1
"COMPTON","Mary Eliza","Mrs","Male","64","1st Class Passenger","Cherbourg","https://www.encyclopedia-titanica.org//titanic-survivor/mary-eliza-compton.html","83.16",1
"COMPTON","Sara Rebecca","Miss","Female","39","1st Class Passenger","Cherbourg","https://www.encyclopedia-titanica.org//titanic-survivor/sara-rebecca-compton.html","83.16",1
"CONNOLLY","Catherine","Miss","Female","23","3rd Class Passenger","Queenstown","https://www.encyclopedia-titanica.org//titanic-survivor/kate-connolly.html","7.75",1
"COOK","Selena","Mrs","Male","22","2nd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/selena-cook.html","10.50",1
"CORNELL","Malvina Helen","Mrs","Male","55","1st Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/malvina-helen-cornell.html","25.74",1
"CORR","Ellen","Miss","Female","16","3rd Class Passenger","Queenstown","https://www.encyclopedia-titanica.org//titanic-survivor/helen-corr.html","7.75",1
"COUPER","Robert Frederick William","Mr","Male","30","Engineering Crew","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/robert-couper.html","NA",1
"COUTTS","Minnie","Mrs","Male","36","3rd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/minnie-coutts.html","15.90",1
"COUTTS","William Loch","Master",NA,"9","3rd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/william-coutts.html","15.90",1
"COUTTS","Neville Leslie","Master",NA,"3","3rd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/leslie-coutts.html","15.90",1
"CRAFTER","Frederick Horace","Mr","Male","20","Victualling Crew","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/frederick-crafter.html","NA",1
"CRAWFORD","Alfred George","Mr","Male","43","Victualling Crew","Belfast","https://www.encyclopedia-titanica.org//titanic-survivor/alfred-crawford.html","NA",1
"CRIBB","Laura May","Miss","Female","16","3rd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/laura-may-cribb.html","16.10",1
"CRIMMINS","James","Mr","Male","21","Engineering Crew","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/james-crimmins.html","NA",1
"CROSBY","Catherine Elizabeth","Mrs","Male","64","1st Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/catherine-elizabeth-crosby.html","71.00",1
"CROSBY","Harriette Rebecca","Miss","Female","39","1st Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/harriette-rebecca-crosby.html","26.55",1
"CROW","George Frederick","Mr","Male","26","Victualling Crew","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/george-frederick-crow.html","NA",1
"CULLEN","Charles James","Mr","Male","49","Victualling Crew","Belfast","https://www.encyclopedia-titanica.org//titanic-survivor/charles-cullen.html","NA",1
"CUMINGS","Florence Briggs","Mrs","Male","35","1st Class Passenger","Cherbourg","https://www.encyclopedia-titanica.org//titanic-survivor/florence-briggs-cumings.html","71.28",1
"CUNNINGHAM","Andrew Orr","Mr","Male","38","Victualling Crew","Belfast","https://www.encyclopedia-titanica.org//titanic-survivor/andrew-cunningham.html","NA",1
"DAHL","Charles Edward","Mr","Male","45","3rd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/charles-edward-dahl.html","8.05",1
"DALY","Peter Dennis","Mr","Male","51","1st Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/peter-dennis-daly.html","26.55",1
"DALY","Margaret","Miss","Female","33","3rd Class Passenger","Queenstown","https://www.encyclopedia-titanica.org//titanic-survivor/maggie-daly.html","6.95",1
"DALY","Eugene Patrick","Mr","Male","29","3rd Class Passenger","Queenstown","https://www.encyclopedia-titanica.org//titanic-survivor/eugene-patrick-daly.html","7.75",1
"DANIEL","Robert Williams","Mr","Male","27","1st Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/robert-williams-daniel.html","30.50",1
"DANIELS","Sarah","Miss","Female","33","1st Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/sarah-daniels.html","151.80",1
"DANIELS","Sidney Edward","Mr","Male","18","Victualling Crew","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/sidney-edward-daniels.html","NA",1
"DAVIDSON","Orian","Mrs","Male","27","1st Class Passenger","Cherbourg","https://www.encyclopedia-titanica.org//titanic-survivor/orian-davidson.html","52.00",1
"DAVIES","Agnes","Mrs","Male","48","2nd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/elizabeth-agnes-mary-davies.html","36.75",1
"DAVIES","John Morgan jr","Master",NA,"8","2nd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/john-morgan-davies.html","36.75",1
"DAVIS","Mary Ann Charlotte","Miss","Female","28","2nd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/mary-davis.html","13.00",1
"DAVISON","Mary Elizabeth","Mrs","Male","34","3rd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/mary-davison.html","16.10",1
"DE MESSEMAEKER","Guillaume Joseph","Mr","Male","36","3rd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/guillaume-de-messemaeker.html","17.40",1
"DE MESSEMAEKER","Anna","Mrs","Male","36","3rd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/anna-de-messemaeker.html","17.40",1
"DE MULDER","Theodoor","Mr","Male","30","3rd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/theodoor-de-mulder.html","9.50",1
